date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:47:57	10896/10896	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2012:47:56%20GMT	https://mini-ielts.com/robots.txt		(from )
19:47:57	38699/38699	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2012:47:56%20GMT	https://mini-ielts.com/	C:/My%20Web%20Sites/test/mini-ielts.com/index.html	(from )
19:47:57	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22046801ec89ad91:0%22	https://mini-ielts.com/favicon.ico	C:/My%20Web%20Sites/test/mini-ielts.com/favicon.ico	(from https://mini-ielts.com/)
19:47:58	169077/169077	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Mar%202025%2012:47:58%20GMT	https://mini-ielts.com/Content/css?v=Ayi0WMzQIX2m70NST0dJw2_CRm7GzPugyjWygZZRouQ1	C:/My%20Web%20Sites/test/mini-ielts.com/Content/css4adb.css	(from https://mini-ielts.com/)
19:47:58	192995/192995	---M--	200	added ('OK')	text/javascript	etag:6944155563382859877	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-9722355699844013	C:/My%20Web%20Sites/test/pagead2.googlesyndication.com/pagead/js/f6d8f.txt	(from https://mini-ielts.com/)
19:47:58	66858/66858	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2012:47:57%20GMT	https://mini-ielts.com/listening	C:/My%20Web%20Sites/test/mini-ielts.com/listening.html	(from https://mini-ielts.com/)
19:47:59	68325/68325	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2012:47:59%20GMT	https://mini-ielts.com/reading	C:/My%20Web%20Sites/test/mini-ielts.com/reading.html	(from https://mini-ielts.com/)
19:47:59	2902/2902	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2011:52:05%20GMT	https://mini-ielts.com/contact-us	C:/My%20Web%20Sites/test/mini-ielts.com/contact-us.html	(from https://mini-ielts.com/)
19:47:59	34076/34076	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2012:47:59%20GMT	https://mini-ielts.com/1509/listening/water-hyacinth	C:/My%20Web%20Sites/test/mini-ielts.com/1509/listening/water-hyacinth.html	(from https://mini-ielts.com/)
19:48:00	19090/19090	---M--	200	added ('OK')	image/webp	date:Fri,%2027%20Oct%202023%2021:40:22%20GMT	https://pondinformer.com/wp-content/uploads/2019/08/water-hyacinth-care-facts-planting-1.jpg	C:/My%20Web%20Sites/test/pondinformer.com/wp-content/uploads/2019/08/water-hyacinth-care-facts-planting-1.jpg	(from https://mini-ielts.com/)
19:48:00	65756/65756	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2012:48:00%20GMT	https://mini-ielts.com/listening?c=recent-actual-tests	C:/My%20Web%20Sites/test/mini-ielts.com/listeningd47e.html	(from https://mini-ielts.com/)
19:48:00	61127/61127	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2012:48:00%20GMT	https://mini-ielts.com/1509/view-solution/listening/water-hyacinth	C:/My%20Web%20Sites/test/mini-ielts.com/1509/view-solution/listening/water-hyacinth.html	(from https://mini-ielts.com/)
19:48:01	29848/29848	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2012:48:01%20GMT	https://mini-ielts.com/1504/listening/early-history-of-salt	C:/My%20Web%20Sites/test/mini-ielts.com/1504/listening/early-history-of-salt.html	(from https://mini-ielts.com/)
19:48:06	58425/58425	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2012:48:02%20GMT	https://mini-ielts.com/1504/view-solution/listening/early-history-of-salt	C:/My%20Web%20Sites/test/mini-ielts.com/1504/view-solution/listening/early-history-of-salt.html	(from https://mini-ielts.com/)
19:48:10	30084/30084	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2012:48:06%20GMT	https://mini-ielts.com/1503/listening/organic-farming	C:/My%20Web%20Sites/test/mini-ielts.com/1503/listening/organic-farming.html	(from https://mini-ielts.com/)
19:48:14	58402/58402	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2012:48:10%20GMT	https://mini-ielts.com/1503/view-solution/listening/organic-farming	C:/My%20Web%20Sites/test/mini-ielts.com/1503/view-solution/listening/organic-farming.html	(from https://mini-ielts.com/)
19:48:19	107829/107829	---M--	200	added ('OK')	image/jpeg	etag:%222261c29-1a535-5af95ab363e40%22	https://agriculturepost.com/wp-content/uploads/2020/09/5-schemes-promoting-organic-farming-in-India.jpg	C:/My%20Web%20Sites/test/agriculturepost.com/wp-content/uploads/2020/09/5-schemes-promoting-organic-farming-in-India.jpg	(from https://mini-ielts.com/)
19:48:19	29000/29000	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2012:48:13%20GMT	https://mini-ielts.com/1508/listening/building-work	C:/My%20Web%20Sites/test/mini-ielts.com/1508/listening/building-work.html	(from https://mini-ielts.com/)
19:48:26	58862/58862	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2012:48:21%20GMT	https://mini-ielts.com/1508/view-solution/listening/building-work	C:/My%20Web%20Sites/test/mini-ielts.com/1508/view-solution/listening/building-work.html	(from https://mini-ielts.com/)
19:48:32	32223/32223	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2012:48:25%20GMT	https://mini-ielts.com/1506/listening/a-study-on-learning-persistence	C:/My%20Web%20Sites/test/mini-ielts.com/1506/listening/a-study-on-learning-persistence.html	(from https://mini-ielts.com/)
19:48:34	153569/153569	---M--	200	added ('OK')	image/jpeg	date:Fri,%2028%20Sep%202018%2014:53:09%20GMT	https://www.forgeskiphire.co.uk/blog/wp-content/uploads/2017/02/bigstock-Portrait-Of-Construction-Worke-98041178-825x510.jpg	C:/My%20Web%20Sites/test/www.forgeskiphire.co.uk/blog/wp-content/uploads/2017/02/bigstock-Portrait-Of-Construction-Worke-98041178-825x510.jpg	(from https://mini-ielts.com/)
19:48:36	59535/59535	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2012:48:32%20GMT	https://mini-ielts.com/1506/view-solution/listening/a-study-on-learning-persistence	C:/My%20Web%20Sites/test/mini-ielts.com/1506/view-solution/listening/a-study-on-learning-persistence.html	(from https://mini-ielts.com/)
19:48:40	33403/33403	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2012:48:36%20GMT	https://mini-ielts.com/1507/listening/research-project	C:/My%20Web%20Sites/test/mini-ielts.com/1507/listening/research-project.html	(from https://mini-ielts.com/)
19:48:44	38411/38411	---M--	200	added ('OK')	image/jpeg	etag:%22960b-619387b8-c3a28016dbfde193;;;%22	https://sace.edu.vn/wp-content/uploads/2021/11/research_project_website.jpg	C:/My%20Web%20Sites/test/sace.edu.vn/wp-content/uploads/2021/11/research_project_website.jpg	(from https://mini-ielts.com/)
19:48:45	60004/60004	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2012:48:40%20GMT	https://mini-ielts.com/1507/view-solution/listening/research-project	C:/My%20Web%20Sites/test/mini-ielts.com/1507/view-solution/listening/research-project.html	(from https://mini-ielts.com/)
19:48:49	40198/40198	---M-Z	200	added ('OK')	text/html	date:Tue,%2011%20Mar%202025%2012:48:45%20GMT	https://mini-ielts.com/1518/reading/australian-artist-margaret-preston	C:/My%20Web%20Sites/test/mini-ielts.com/1518/reading/australian-artist-margaret-preston.html	(from https://mini-ielts.com/)
